Source types: {}
Target types: {}
Src (score): 
		 Property: title; First score: 0.3429793658782084; Second score: 2.883751542859308; Combined: 0.6130460230457648; Selected
		 Property: description; First score: 0.3140412682435833; Second score: 2.8801571204354843; Combined: 0.5663318834847885; Selected
		 Property: manufacturer; First score: 0.3429793658782084; Second score: 0.5830600500124459; Combined: 0.4318986055898042
Tgt (score): 
		 Property: name; First score: 0.4968427537347913; Second score: 2.567847028581381; Combined: 0.8325907543476474; Selected
		 Property: description; First score: 0.4674264592638226; Second score: 2.3994770983154323; Combined: 0.7824323780861664; Selected
		 Property: manufacturer; First score: 0.035730787001386106; Second score: 0.7191463173469989; Combined: 0.06807906542651736
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.51; Sing.: 0.8386; P: 0.4144503546099291; R: 0.7192307692307692; F1: 0.5258717660292463; Conf.: 0.7136522753792298; Links: 2256
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.52; Sing.: 0.8322; P: 0.3990767939571968; R: 0.7315384615384616; F1: 0.5164268259571002; Conf.: 0.7136522753792298; Links: 2383
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.53; Sing.: 0.8249; P: 0.37877007442224836; R: 0.7438461538461538; F1: 0.5019465351674021; Conf.: 0.7136522753792298; Links: 2553
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.54; Sing.: 0.8183; P: 0.3618035190615836; R: 0.7592307692307693; F1: 0.4900695134061569; Conf.: 0.7136522753792298; Links: 2728
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.55; Sing.: 0.8132; P: 0.34821737625475946; R: 0.7738461538461539; F1: 0.4803055621866794; Conf.: 0.7136522753792298; Links: 2889
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.56; Sing.: 0.8062; P: 0.3302130406714009; R: 0.786923076923077; F1: 0.46521145975443384; Conf.: 0.7136522753792298; Links: 3098
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.57; Sing.: 0.7989; P: 0.3140520896426408; R: 0.7976923076923077; F1: 0.4506736201651456; Conf.: 0.7136522753792298; Links: 3302
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.58; Sing.: 0.7936; P: 0.3017633674630262; R: 0.8161538461538461; F1: 0.44061461794019935; Conf.: 0.7136522753792298; Links: 3516
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.59; Sing.: 0.787; P: 0.2860169491525424; R: 0.8307692307692308; F1: 0.425531914893617; Conf.: 0.7136522753792298; Links: 3776
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.6; Sing.: 0.7813; P: 0.274; R: 0.8430769230769231; F1: 0.41358490566037737; Conf.: 0.7136522753792298; Links: 4000
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.61; Sing.: 0.7764; P: 0.2610825944937004; R: 0.8607692307692307; F1: 0.40064446831364126; Conf.: 0.7136522753792298; Links: 4286
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.62; Sing.: 0.7717; P: 0.25133214920071045; R: 0.8707692307692307; F1: 0.39007580978635426; Conf.: 0.7136522753792298; Links: 4504
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.63; Sing.: 0.7651; P: 0.23649484536082474; R: 0.8823076923076923; F1: 0.3730081300813008; Conf.: 0.7136522753792298; Links: 4850
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.64; Sing.: 0.7588; P: 0.22014498283098055; R: 0.8876923076923077; F1: 0.3527973096912259; Conf.: 0.7136522753792298; Links: 5242
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.65; Sing.: 0.7532; P: 0.20764444444444444; R: 0.8984615384615384; F1: 0.33732851985559564; Conf.: 0.7136522753792298; Links: 5625
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.66; Sing.: 0.7467; P: 0.193431855500821; R: 0.9061538461538462; F1: 0.318809201623816; Conf.: 0.7136522753792298; Links: 6090
