Source types: {}
Target types: {}
Src (score): 
		 Property: title; First score: 0.3333333333333333; Second score: 2.6978505187429582; Combined: 0.5933546430261326; Selected
		 Property: authors; First score: 0.3333333333333333; Second score: 2.1372537270420935; Combined: 0.5767195339441089; Selected
		 Property: venue; First score: 0.3333333333333333; Second score: 0.005372684142708243; Combined: 0.010574921151867402
Tgt (score): 
		 Property: title; First score: 0.3650190114068441; Second score: 3.136090920692447; Combined: 0.6539256577223478; Selected
		 Property: authors; First score: 0.3643852978453739; Second score: 3.128704715608163; Combined: 0.6527481371944157; Selected
		 Property: venue; First score: 0.270595690747782; Second score: 1.7685170576338705; Combined: 0.46937384427563134
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.61; Sing.: 0.7716; P: 0.1732283464566929; R: 0.008228913409388442; F1: 0.015711480092840565; Conf.: 0.08518673940411246; Links: 254
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.62; Sing.: 0.7627; P: 0.15384615384615385; R: 0.008228913409388442; F1: 0.015622226167228831; Conf.: 0.08518673940411246; Links: 286
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.63; Sing.: 0.7581; P: 0.13580246913580246; R: 0.008228913409388442; F1: 0.015517545406453889; Conf.: 0.08518673940411246; Links: 324
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.64; Sing.: 0.7494; P: 0.11859838274932614; R: 0.008228913409388442; F1: 0.015389996502273523; Conf.: 0.08518673940411246; Links: 371
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.65; Sing.: 0.7445; P: 0.10602409638554217; R: 0.008228913409388442; F1: 0.015272474835126693; Conf.: 0.08518673940411246; Links: 415
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.66; Sing.: 0.7323; P: 0.08906882591093117; R: 0.008228913409388442; F1: 0.015065913370998116; Conf.: 0.08518673940411246; Links: 494
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.67; Sing.: 0.723; P: 0.07394957983193277; R: 0.008228913409388442; F1: 0.014809828340626052; Conf.: 0.08518673940411246; Links: 595
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.68; Sing.: 0.7133; P: 0.061452513966480445; R: 0.008228913409388442; F1: 0.014514266864588487; Conf.: 0.08518673940411246; Links: 716
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.69; Sing.: 0.7081; P: 0.05275779376498801; R: 0.008228913409388442; F1: 0.014237178450088983; Conf.: 0.08518673940411246; Links: 834
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.7; Sing.: 0.6993; P: 0.042884990253411304; R: 0.008228913409388442; F1: 0.013808253569747372; Conf.: 0.08518673940411246; Links: 1026
