Source types: {}
Target types: {}
Src (score): 
		 Property: description; First score: 1.0; Second score: 1.0; Combined: 1.0; Selected
		 Property: name; First score: 1.0; Second score: 1.0; Combined: 1.0; Selected
Tgt (score): 
		 Property: name; First score: 1.0; Second score: 0.9880952380952381; Combined: 0.9904534606205251; Selected
		 Property: description; First score: 0.5961538461538461; Second score: 0.858678955453149; Combined: 0.7891740746138152; Selected
		 Property: manufacturer; First score: 0.9945054945054945; Second score: 0.10681399631675875; Combined: 0.13002615881571908
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.04; Sing.: 1.0; P: 1.0; R: 0.014585232452142206; F1: 0.028751123090745734; Conf.: 0.4920863309352518; Links: 16
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.05; Sing.: 1.0; P: 1.0; R: 0.015496809480401094; F1: 0.03052064631956912; Conf.: 0.4920863309352518; Links: 17
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.14; Sing.: 0.0; P: 1.0; R: 9.115770282588879E-4; F1: 0.0018214936247723133; Conf.: 0.4920863309352518; Links: 1
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.16; Sing.: 1.0; P: 1.0; R: 0.0018231540565177757; F1: 0.003639672429481347; Conf.: 0.4920863309352518; Links: 2
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.18; Sing.: 1.0; P: 1.0; R: 0.004557885141294439; F1: 0.009074410163339383; Conf.: 0.4920863309352518; Links: 5
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.19; Sing.: 1.0; P: 1.0; R: 0.007292616226071103; F1: 0.014479638009049774; Conf.: 0.4920863309352518; Links: 8
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.2; Sing.: 1.0; P: 1.0; R: 0.009115770282588878; F1: 0.018066847335140017; Conf.: 0.4920863309352518; Links: 10
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.21; Sing.: 1.0; P: 1.0; R: 0.01276207839562443; F1: 0.025202520252025202; Conf.: 0.4920863309352518; Links: 14
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.18; Sing.: 0.0; P: 1.0; R: 9.115770282588879E-4; F1: 0.0018214936247723133; Conf.: 0.4920863309352518; Links: 1
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.22; Sing.: 1.0; P: 1.0; R: 0.0018231540565177757; F1: 0.003639672429481347; Conf.: 0.4920863309352518; Links: 2
