Source types: {}
Target types: {}
Src (score): 
		 Property: description; First score: 0.5; Second score: 2.9833684400517555; Combined: 0.8564607768012702; Selected
		 Property: name; First score: 0.5; Second score: 2.9833684400517555; Combined: 0.8564607768012702; Selected
Tgt (score): 
		 Property: name; First score: 0.3860021208907741; Second score: 2.932911135960467; Combined: 0.6822172387469859; Selected
		 Property: description; First score: 0.2301166489925769; Second score: 2.513680399091957; Combined: 0.42163447218603706; Selected
		 Property: manufacturer; First score: 0.383881230116649; Second score: 0.22880073899906386; Combined: 0.2867141961606209
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.32; Sing.: 0.8772; P: 0.5162337662337663; R: 0.28988149498632637; F1: 0.3712784588441331; Conf.: 0.4920863309352518; Links: 616
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.33; Sing.: 0.8709; P: 0.4909090909090909; R: 0.31996353691886964; F1: 0.38741721854304634; Conf.: 0.4920863309352518; Links: 715
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.34; Sing.: 0.8666; P: 0.4755784061696658; R: 0.33728350045578853; F1: 0.39466666666666667; Conf.: 0.4920863309352518; Links: 778
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.35; Sing.: 0.8595; P: 0.4502923976608187; R: 0.35095715587967186; F1: 0.3944672131147541; Conf.: 0.4920863309352518; Links: 855
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.36; Sing.: 0.8521; P: 0.43024494142705005; R: 0.3682771194165907; F1: 0.3968565815324165; Conf.: 0.4920863309352518; Links: 939
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.37; Sing.: 0.847; P: 0.4220716360116166; R: 0.3974475843208751; F1: 0.40938967136150234; Conf.: 0.4920863309352518; Links: 1033
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.38; Sing.: 0.8399; P: 0.4030249110320285; R: 0.41294439380127623; F1: 0.40792435839711844; Conf.: 0.4920863309352518; Links: 1124
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.39; Sing.: 0.8351; P: 0.3861955628594905; R: 0.4284412032816773; F1: 0.4062229904926534; Conf.: 0.4920863309352518; Links: 1217
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.4; Sing.: 0.8317; P: 0.37519142419601836; R: 0.44667274384685507; F1: 0.40782355389096964; Conf.: 0.4920863309352518; Links: 1306
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.41; Sing.: 0.8286; P: 0.36337625178826893; R: 0.463081130355515; F1: 0.4072144288577154; Conf.: 0.4920863309352518; Links: 1398
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.42; Sing.: 0.8262; P: 0.35909393737508327; R: 0.49134001823154055; F1: 0.4149345650500385; Conf.: 0.4920863309352518; Links: 1501
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.43; Sing.: 0.8213; P: 0.34772036474164136; R: 0.5214220601640839; F1: 0.41721371261852663; Conf.: 0.4920863309352518; Links: 1645
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.44; Sing.: 0.8194; P: 0.33713633770678836; R: 0.5387420237010028; F1: 0.4147368421052632; Conf.: 0.4920863309352518; Links: 1753
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.45; Sing.: 0.8148; P: 0.324750394114556; R: 0.5633546034639927; F1: 0.412; Conf.: 0.4920863309352518; Links: 1903
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.46; Sing.: 0.811; P: 0.3151157065484983; R: 0.5834092980856882; F1: 0.4092071611253197; Conf.: 0.4920863309352518; Links: 2031
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.47; Sing.: 0.8067; P: 0.2987665600730927; R: 0.5961713764813127; F1: 0.39805234327449784; Conf.: 0.4920863309352518; Links: 2189
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.48; Sing.: 0.8029; P: 0.2874251497005988; R: 0.6125797629899726; F1: 0.39126637554585153; Conf.: 0.4920863309352518; Links: 2338
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.49; Sing.: 0.8001; P: 0.2756563245823389; R: 0.6317228805834093; F1: 0.3838271946829133; Conf.: 0.4920863309352518; Links: 2514
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.5; Sing.: 0.7958; P: 0.26699211415696583; R: 0.6481312670920693; F1: 0.3781914893617021; Conf.: 0.4920863309352518; Links: 2663
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.51; Sing.: 0.7928; P: 0.25803072625698326; R: 0.6736554238833181; F1: 0.37313809644029283; Conf.: 0.4920863309352518; Links: 2864
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.52; Sing.: 0.7884; P: 0.24604455925088795; R: 0.6946216955332726; F1: 0.36337625178826893; Conf.: 0.4920863309352518; Links: 3097
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.53; Sing.: 0.7832; P: 0.23491124260355029; R: 0.723792160437557; F1: 0.3547018092472638; Conf.: 0.4920863309352518; Links: 3380
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.54; Sing.: 0.7776; P: 0.22270742358078602; R: 0.7438468550592525; F1: 0.3427851291745432; Conf.: 0.4920863309352518; Links: 3664
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.55; Sing.: 0.7716; P: 0.2082074521651561; R: 0.7538742023701003; F1: 0.3262971000197278; Conf.: 0.4920863309352518; Links: 3972
